datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2015-10-27,2617,13.693342923990066,house,5,2015,10
2015-10-27,2612,13.872835624583544,house,1,2015,10
2015-10-28,2905,12.983101310070822,house,3,2015,10
2015-10-28,2615,12.996800154428984,house,3,2015,10
2015-10-28,2614,13.049792684569493,house,3,2015,10
2015-10-28,2905,13.112313041550827,house,3,2015,10
2015-10-28,2611,13.142166004700508,house,3,2015,10
2015-10-28,2602,13.39239051461739,house,3,2015,10
2015-10-28,2611,13.396960210307455,house,3,2015,10
2015-10-28,2913,13.415032991367148,house,4,2015,10
2015-10-28,2602,13.461688683007948,house,3,2015,10
2015-10-28,2604,13.589237113641136,house,3,2015,10
2015-10-28,2602,13.617669189512283,house,3,2015,10
2015-10-28,2611,13.820498099475314,house,5,2015,10
2015-10-28,2612,13.997832114758229,house,5,2015,10
2015-10-29,2913,12.685407602204794,house,2,2015,10
2015-10-29,2913,12.736553826954605,house,3,2015,10
2015-10-29,2913,12.861258319803,house,3,2015,10
2015-10-29,2913,12.936033799212835,house,2,2015,10
2015-10-29,2902,12.963367645913872,house,3,2015,10
2015-10-29,2615,12.991115090794375,house,3,2015,10
2015-10-29,2905,12.999065161059836,house,3,2015,10
2015-10-29,2904,13.028052697933088,house,3,2015,10
2015-10-29,2904,13.151922179645874,house,4,2015,10
2015-10-29,2611,13.16158409055761,house,3,2015,10
2015-10-29,2617,13.181575237036174,house,3,2015,10
2015-10-29,2615,13.244581010128577,house,4,2015,10
2015-10-29,2913,13.366093562326927,house,3,2015,10
2015-10-29,2904,13.480037821676145,house,4,2015,10
2015-10-29,2617,13.560618308335483,house,4,2015,10
2015-10-29,2602,13.563195629349785,house,3,2015,10
2015-10-29,2600,13.67739725583464,house,2,2015,10
2015-10-29,2600,13.681979165339751,house,2,2015,10
2015-10-29,2600,13.681979165339751,house,3,2015,10
2015-10-29,2612,13.770513192033539,house,3,2015,10
2015-10-30,2905,12.765688433465597,house,2,2015,10
2015-10-30,2906,12.886641043883259,house,3,2015,10
2015-10-30,2615,13.005829561148378,house,4,2015,10
2015-10-30,2902,13.071070083016778,house,3,2015,10
